fna,gna,nam,fun,fdc,sag,latitud,longitud
Estación Enrique Fynn,Estación,Enrique Fynn,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.82131554099989756),-59.13591797
Estación Marcos Paz,Estación,Marcos Paz,6,IGN/Trenes Argentinos,IGN,-34.78648028299989647),-58.82976606
Estación Marcos Paz,Estación,Marcos Paz,6,IGN/Trenes Argentinos,IGN,-34.7831374339999968),-58.83651443
Estación Las Heras,Estación,Las Heras,6,IGN/Trenes Argentinos,IGN,-34.92796264500000092),-58.94464538
Apeadero Zamudio,Apeadero,Zamudio,6,IGN/Trenes Argentinos,IGN,-34.85772701299990217),-58.89216271
Estación Lozano,Estación,Lozano,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.85111148499989753),-59.05392043
Estación Villars,Estación,Villars,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.82884224000000017),-58.93851075
Estación Santos Lugares,Estación,Santos Lugares,6,IGN/Trenes Argentinos,IGN,-34.60376301000000154),-58.54090676
Estación Sáenz Peña,Estación,Sáenz Peña,6,IGN/Trenes Argentinos,IGN,-34.60303327700000153),-58.52747167
Estación La Luisa,Estación,La Luisa,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.13114834499990025),-59.94792975
Estación Capitán Sarmiento,Estación,Capitán Sarmiento,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.17559588699990059),-59.7932341
Estación de La Garma,Estación,de La Garma,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.96240724599989846),-60.41114033
Estación Álzaga,Estación,Álzaga,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.85976237599989958),-59.97216951
Estación Benito Juárez,Estación,Benito Juárez,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.66583195300000142),-59.80944756
Estación Coronel Rodolfo Bunge,Estación,Coronel Rodolfo Bunge,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.57384488199989647),-60.13745035
Estación Mariano Roldán,Estación,Mariano Roldán,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.71992970099999809),-60.32426974
Estación Juan E. Bara,Estación,Juan E. Barra,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.82036397499999936),-60.48194125
Estación Delta,Estación,Delta,6,IGN/Trenes Argentinos,IGN,-34.41853534599989928),-58.57683092
Estación Canal San Fernando,Estación,Canal San Fernando,6,IGN/Trenes Argentinos,IGN,-34.42997422799989948),-58.56298711
Estación Dr. A. Schweitzer,Estación,Dr. A. Schweitzer,6,IGN/Trenes Argentinos,IGN,-34.47211840700000351),-58.57434519
Estación Bancalari,Estación,Bancalari,6,IGN/Trenes Argentinos,IGN,-34.47981384699990315),-58.60296511
Estación General Pacheco,Estación,General Pacheco,6,IGN/Trenes Argentinos,IGN,-34.45592627999999991),-58.62013245
Estación Tigre,Estación,Tigre,6,IGN/Trenes Argentinos,IGN,-34.4234401529999019),-58.58189784
Estación El Talar,Estación,El Talar,6,IGN/Trenes Argentinos,IGN,-34.46283189100000044),-58.6461495
Estación Carupá,Estación,Carupá,6,IGN/Trenes Argentinos,IGN,-34.43780321500000241),-58.56719336
