fna,gna,nam,fun,fdc,sag,latitud,longitud
Estación Guerrero,Estación,Guerrero,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.97086134799999968),-57.85014509
Estación Dolores,Estación,Dolores,6,IGN/Trenes Argentinos,IGN,-36.30310208399990302),-57.68753778
Estación Parravicini,Estación,Parravicini,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.45739926499989991),-57.75859821
Desvío Km 212,Desvío,Km 212,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.36885733599999782),-57.72442723
Estación La Trinidad,Estación,La Trinidad,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.10009382700000202),-61.1325367
Estación Sarasa,Estación,Sarasa,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.04766610299999741),-61.20068859
Estación El Arbolito,Estación,El Arbolito,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.91341477600000331),-60.94308105
Estación Colón,Estación,Colón,2,IGN/Ministerio de Transporte de la Nación,IGN,-33.88786599899999885),-61.09417441
Estación Pedro Nicolás Escribano,Estación,Pedro Nicolás Escribano,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.56439229800000135),-57.68452407
Estación Don Cipriano,Estación,Don Cipriano,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.49476304499999912),-57.77093988
Estación Ranchos,Estación,Ranchos,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.52120570799999655),-58.31426531
Estación Chascomús,Estación,Chascomús,6,IGN/Trenes Argentinos,IGN,-35.57912401299999772),-57.98268445
Estación Libres del Sud,Estación,Libres del Sud,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.72956653800000026),-57.71989346
Estación Comandante Giribone,Estación,Comandante Giribone,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.61948227499990338),-57.68472993
Estación Vergara,Estación,Vergara,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.38348388299989722),-57.80254907
Estación Las Tahonas,Estación,Las Tahonas,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.35236849300000017),-57.38197921
Estación Gándara,Estación,Gándara,6,IGN/Trenes Argentinos,IGN,-35.44943547500000136),-58.09386937
Estación Adela,Estación,Adela,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.68392211199989816),-57.95409039
Estación Alegre,Estación,Alegre,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.45592546999999684),-58.26754639
Estación Villanueva,Estación,Villanueva,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.67962498600000032),-58.43589736
Estación Calvo,Estación,Calvo,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.76473538399989849),-61.41730564
Estación San Román,Estación,San Román,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.74144938799999949),-61.53868741
Estación Coronel Dorrego,Estación,Coronel Dorrego,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.71368145000000283),-61.29846611
Estación José A. Guisasola,Estación,José A. Guisasola,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.67439215699990029),-61.09218896
Estación Faro,Estación,Faro,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.79786415000000233),-61.06917561
Estación Gil,Estación,Gil,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.79210109499999959),-60.90511413
Estación Zubiaurre,Estación,Zubiaurre,4,IGN/Ministerio de Transporte de la Nación,IGN,-38.76270126699999707),-60.76291032
Estación Oriente,Estación,Oriente,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.74081645199989765),-60.61202474
Estación General Belgrano,Estación,General Belgrano,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.76886460799990175),-58.49477985
Estación Bonnement,Estación,Bonnement,4,IGN/Ministerio de Transporte de la Nación,IGN,-35.71777285299990012),-58.46422155
Estación Villa Moll,Estación,Villa Moll,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.07530137299990258),-59.65035502
Estación La Rica,Estación,La Rica,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.97497509099999746),-59.85648844
Estación Chivilcoy Sud,Estación,Chivilcoy Sud,6,IGN/Trenes Argentinos,IGN,-34.91735273099990167),-59.99625229
Estación Ramón Biaus,Estación,Ramón Biaus,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.08534802500000183),-59.92410319
Estación Moquehuá,Estación,Moquehuá,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.08989952000000301),-59.77449775
Estación Henry Bell,Estación,Henry Bell,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.04480061499990029),-59.95014519
Estación Km 95,Estación,Km 95,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.29562586899989896),-61.4472326
Estación Delgado,Estación,Delgado,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.16761722099990095),-61.24957009
Estación La Beba,Estación,La Beba,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.15471782899989961),-61.01130983
Estación Arenales,Estación,Arenales,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.27022477799989986),-61.29294808
Estación La Pinta,Estación,La Pinta,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.24995541700000246),-61.35891796
Estación Ham,Estación,Ham,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.23299508600000252),-61.24166311
Estación La Angelita,Estación,La Angelita,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.25967629400000192),-60.96878696
Estación Fortín Acha,Estación,Fortín Aca,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.34294657600000278),-61.51959248
Estación Ferré,Estación,Ferré,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.12732278099999661),-61.13326409
Estación Ascensión,Estación,Ascensión,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.24590490500000328),-61.11011919
Estación Arribeños,Estación,Arribeños,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.21069840099990245),-61.35726004
Estación Las Martinetas,Estación,Las Martinetas,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.19658608000000299),-61.12372168
Estación Rocha,Estación,Rocha,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.14630475900000306),-60.97724959
Estación Las Hermanas,Estación,Las Hermanas,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.61676404799990081),-60.87770227
Estación Laprida,Estación,Laprida,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.54875430999990016),-60.78795193
Estación Voluntad,Estación,Voluntad,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.44952703199989941),-60.67574482
Estación Muñoz,Estación,Muñoz,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.07716762099990149),-60.76822304
Estación Durañona,Estación,Durañona,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.25099930999989795),-60.50374776
Estación Santa Luisa,Estación,Santa Luisa,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.1249837439999979),-60.41586522
Estación Santa Elena,Estación,Santa Elena,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.34444678700000253),-60.60519283
Estación Eduardo Costa,Estación,Eduardo Costa,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.81892321999990259),-62.33606003
Desvío Km 357,Desvío,Km 357,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.39376274499989705),-62.03558367
Estación Iriarte,Estación,Iriarte,6,IGN/Trenes Argentinos,IGN,-34.41447569000000328),-61.92872837
Estación Dos Hermanos,Estación,Dos Hermanos,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.47295742499989757),-62.09322555
Estación Juan Bautista Alberdi,Estación,Juan Bautista Alberdi,6,IGN/Trenes Argentinos,IGN,-34.43710248000000007),-61.81190155
Estación Mayor J. Orellano,Estación,Mayor J. Orellano,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.57579961599999763),-62.05128636
Estación Ingeniero Balbín,Estación,Ingeniero Balbín,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.57693260100000288),-62.17123374
Estación Covello,Estación,Covello,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.22238316599990071),-59.72624312
Estación General Alvear,Estación,General Alvear,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.01891033100000072),-60.02213253
Estación Yerbas,Estación,Yerbas,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.18334852999989693),-60.06318034
Estación José María Micheo,Estación,José María Micheo,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.8813705239999976),-59.94620311
Estación San Enrique,Estación,San Enrique,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.78127825899999692),-60.35854463
Estación Emma,Estación,Emma,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.21044038000000143),-60.21829394
Estación San Bernardo,Estación,San Bernardo,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.30879326000000162),-60.44699814
Estación General La Madrid,Estación,General La Madrid,6,IGN/Trenes Argentinos,IGN,-37.25054371999989655),-61.25833162
Estación Lastra,Estación,Lastra,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.41127880499990255),-61.27975735
Estación Líbano,Estación,Líbano,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.5318190610000002),-61.2886501
Estación Quilcó,Estación,Quilcó,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.0913033859999004),-61.19972031
Estación La Colonia,Estación,La Colonia,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.35907023800000104),-61.54200475
Estación Piñeyro,Estación,Piñeyro,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.42236089299999691),-61.73474071
Estación D´Orbigny,Estación,D´Orbigny,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.67662427999989916),-61.70789809
Divisadero de Pinamar,Divisadero,de Pinamar,6,IGN/Trenes Argentinos,IGN,-37.09992630200000008),-56.90283305
Estación Calfucurá,Estación,Calfucurá,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.48624306800000028),-57.43655825
Estación Juancho,Estación,Juancho,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.15325245299990087),-57.08433562
Estación Claudio Molina,Estación,Claudio Molina,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.08944942699999814),-60.34903696
Estación Vásquez,Estación,Vásquez,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.17909016200000138),-60.17405206
Estación Las Vaquerías,Estación,Las Vaquerías,4,IGN/Ministerio de Transporte de la Nación,IGN,-38.20563062699989842),-60.28877733
Estación Gonzales Chaves,Estación,Gonzales Chaves,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.029607562999999),-60.10113654
Estación Pedro P. Lasalle,Estación,Pedro P. Lassalle,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.9854018759999974),-60.58062959
Estación Cascada,Estación,Cascada,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.29056527800000254),-62.29836014
Estación Pasman,Estación,Pasman,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.22598916199999763),-62.16191069
Estación Huanguelén,Estación,Huanguelén,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.06800353300000239),-61.9532027
Estación Guaminí,Estación,Guaminí,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.02023008700000162),-62.41734423
Estación Ombú,Estación,Ombú,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.12982647999999841),-62.02576218
Estación Huanguelén Sud,Estación,Huanguelén Sud,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.06202989799989922),-61.92962284
Estación La Primavera,Estación,La Primavera,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.34410866399999662),-61.93426617
Estación Zentena,Estación,Zentena,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.21955116000000174),-61.94304427
Estación Edmundo B. Perkins,Estación,Edmundo B. Perkins,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.4645608819999012),-61.66683969
Estación Vedia,Estación,Vedia,6,IGN/Trenes Argentinos,IGN,-34.48882678300000038),-61.53845896
Estación Leandro N. Alem,Estación,Leandro N. Alem,6,IGN/Trenes Argentinos,IGN,-34.51674571899999933),-61.39037634
Estación Álvarez Jonte,Estación,Álvarez Jonte,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.32177364199999658),-57.45428862
Estación Magdalena,Estación,Magdalena,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.07327707999999689),-57.51385786
Estación Julio Arditi,Estación,Julio Arditi,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.12841824000000202),-57.64916942
Estación Vieytes,Estación,Vieytes,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.26751972899999998),-57.57523575
Estación Bartolomé Bavio,Estación,Bartolomé Bavio,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.08625164200000057),-57.748024
Estación Atalaya,Estación,Atalaya,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.02207719300000122),-57.53248662
Estación Roberto Payró,Estación,Roberto Payró,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.18138399699999752),-57.65386715
Estación Verónica,Estación,Verónica,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.38678464699999893),-57.33703004
Estación José Ferrari,Estación,José Ferrari,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.29101886000000121),-57.86300155
Estación Empalme Magdalena,Estación,Empalme Magdalena,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.06994033000000144),-57.53436528
Estación Saavedra,Estación,Saavedra,6,IGN/Trenes Argentinos,IGN,-37.76386682999999778),-62.35187183
Estación Arroyo Corto,Estación,Arroyo Corto,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.51584231499990096),-62.31174234
Estación Dufaur,Estación,Dufaur,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.94441202099989852),-62.28816302
Estación Cura Malal,Estación,Cura Malal,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.48621363000000173),-62.1058732
Estación Sierra de la Ventana,Estación,Sierra de la Ventana,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.13851668099989922),-61.79433222
Estación Tornquist,Estación,Tornquist,6,IGN/Trenes Argentinos,IGN,-38.10168439499990001),-62.2295102
Estación Pigüé,Estación,Pigüé,6,IIGN/Trenes Argentinos,IGN,-37.60100982400000191),-62.41157292
Estación Coronel Suárez,Estación,Coronel Suárez,6,IGN/Trenes Argentinos,IGN,-37.46057147900000217),-61.93212701
Estación Otoño,Estación,Otoño,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.00702231799989761),-61.85069019
Estación Ducós,Estación,Ducós,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.45696162499999815),-62.42374407
Estación Bathurst,Estación,Bathurst,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.57583145400000291),-61.81940011
Estación Coronel Suárez,Estación,Coronel Suárez,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.4697633159999981),-61.91523945
Estación Pichincha,Estación,Pichincha,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.57930302599989858),-62.35175097
Estación Drabble,Estación,Drabble,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.91906435300000311),-62.76445641
Estación Condarco,Estación,Condarco,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.27341872400000256),-63.06753478
Estación J. A. Pradere,Estación,J. A. Pradere,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.25404872000000012),-62.92768545
Estación Banderaló,Estación,Banderaló,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.01000847699990004),-63.37455919
Estación Elordi,Estación,Elordi,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.04632214299989812),-63.12175194
Estación Gondra,Estación,Gondra,4,IGN/Ministerio de Transporte de la Nación,IGN,-34.74707606100000135),-63.35916032
Estación Coronel Charlone,Estación,Coronel Charlone,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.67316533799989742),-63.37430198
Estación Emilio V. Bunge,Estación,Emilio V. Bunge,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.77803342699999689),-63.19737843
Estación Los Laureles,Estación,Los Laureles,4,IGN/Ministerio de Transporte de la Nación,IGN,-35.11272815199990305),-62.90802288
Estación Santa Eleodora,Estación,Santa Eleodora,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.69100237600000014),-62.69584779
Estación Blaquier,Estación,Blaquier,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.63445592999990197),-62.47905765
Estación Florentino Ameghino,Estación,Florentino Ameghino,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.84992698100000297),-62.46796142
Estación Volta,Estación,Volta,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.88929762600000117),-62.63617521
Estación Moores,Estación,Moores,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.95358374700000326),-62.9140553
Estación El Día,Estación,El Día,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.73807315900000248),-62.83255359
Estación Piedritas,Estación,Piedritas,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.77203946000000201),-62.9848157
Estación Cañada Seca,Estación,Cañada Seca,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.41425125599990054),-62.96289556
Estación Santa Regina,Estación,Santa Regina,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.54798652699999906),-63.17418071
Estación General Villegas,Estación,General Villegas,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.02891327599999727),-63.01964465
Estación Sansinena,Estación,Sansinena,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.27365293999999807),-63.21703837
Estación Olavarría,Estación,Olavarría,6,IGN/Trenes Argentinos,IGN,-36.89613827999990292),-60.31434031
Estación Sierra Chica,Estación,Sierra Chica,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.83888113799999786),-60.22925135
Estación Iturregui,Estación,Iturregui,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.82521674299989911),-61.12515906
Estación Pourtalé,Estación,Pourtalé,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.01951106900000354),-60.59078616
Empalme Querandíes,Empalme,Querandíes,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.01044216199989734),-60.3934463
Estación Emilio Lamarca,Estación,Emilio Lamarca,2,IGN/Ministerio de Transporte de la Nación,IGN,-40.07131028799989991),-62.6156
Estación Stroeder,Estación,Stroeder,2,IGN/Ministerio de Transporte de la Nación,IGN,-40.18639622500000286),-62.61631409
Estación Caderal Cagliero,Estación,Caderal Cagliero,2,IGN/Ministerio de Transporte de la Nación,IGN,-40.65236918200000105),-62.75200317
Estación José B. Casas,Estación,José B. Casas,2,IGN/Ministerio de Transporte de la Nación,IGN,-40.43466393199999942),-62.54358892
Estación Villalonga,Estación,Villalonga,2,IGN/Ministerio de Transporte de la Nación,IGN,-39.91653801300000026),-62.6147485
Estación Carmen de Patagones,Estación,Carmen de Patagones,2,IGN/Ministerio de Transporte de la Nación,IGN,-40.79153067099999674),-62.9795494
Estación Salto,Estación,Salto,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.29215781700000321),-60.26231546
Estación Salto,Estación,Salto,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.3002807109999992),-60.24469902
Estación La Invencible,Estación,La Invencible,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.26570176500000287),-60.38695934
Estación Hunter,Estación,Hunter,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.24799689000000313),-60.53223263
Estación Inés Indart,Estación,Inés Indart,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.39785676500000022),-60.54198959
Estación Berdier,Estación,Berdier,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.39560872799999913),-60.25705648
Estación Tacuarí,Estación,Tacuarí,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.21135205600000262),-60.30975651
Estación San Fernando R,Estación,San Fernando R,6,IGN/Trenes Argentinos,IGN,-34.43760825799999736),-58.55404549
Estación San Pedro,Estación,San Pedro,6,IGN/Trenes Argentinos,IGN,-33.6943217350000026),-59.68283217
Estación Río Tala,Estación,Río Tala,6,IGN/Ministerio de Transporte de la Nación,IGN,-33.76883713699989897),-59.63487189
Estación Guernica,Estación,Guernica,6,IGN/Trenes Argentinos,IGN,-34.91798989200000136),-58.38070683
Estación González Risos,Estación,González Risos,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.85510677500000298),-59.22626423
Estación Ingeniero Williams,Estación,Ingeniero Williams,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.89436009500000324),-59.37255129
Estación de Bary,Estación,de Bary,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.34042450899990229),-63.26300056
Estación Vivoratá,Estación,Vivoratá,6,IGN/Trenes Argentinos,IGN,-37.66392946599999902),-57.66939132
Estación Coronel Vidal,Estación,Coronel Vidal,6,IGN/Trenes Argentinos,IGN,-37.45451791299999655),-57.72853246
Estación Nahuel Rucá,Estación,Nahuel Rucá,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.58193835600000199),-57.54784878
Desvío Foguista Ghiberti,Desvío,Foguista Ghiberti,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.55849861099989795),-57.69917651
Estación Funke,Estación,Funke,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.46434500299989878),-58.97611529
Estación Carlos Beguerie,Estación,Carlos Beguerie,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.48358199199999774),-59.10201822
Estación Zenón Videla Dorna,Estación,Zenón Videla Dorna,4,IGN/Ministerio de Transporte de la Nación,IGN,-35.54175651999999985),-58.88803042
Estación González Moreno,Estación,González Moreno,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.55827598799989886),-63.38006185
Estación América,Estación,América,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.48572546599999811),-62.97607339
Estación Valentín Gómez,Estación,Valentín Gómez,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.64894495999990198),-63.25674655
Estación Sol de Mayo,Estación,Sol de Mayo,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.26903233799990289),-60.87166639
Estación Guido y Spano,Estación,Guido y Spano,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.23202420300000171),-60.647737
Estación Rojas,Estación,Rojas,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.20171509299999713),-60.72754606
Estación Estela,Estación,Estela,4,IGN/Ministerio de Transporte de la Nación,IGN,-38.11091328299990266),-62.91105495
Estación Chasicó,Estación,Chasicó,6,IGN/Ministerio de Transporte de la Nación,IGN,-38.33749276399989725),-62.64224965
Estación 17 de Agosto,Estación,17 de Agosto,6,IGN/Ministerio de Transporte de la Nación,IGN,-37.912929149),-62.93847861
Estación Villa Iris,Estación,Villa Iris,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.17469028099999662),-63.23723411
Estación Felipe Solá,Estación,Felipe Solá,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.01054216099989702),-62.81647553
Empalme Piedra Ehada,Empalme,Piedra Ehada,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.08216300399990217),-62.77561506
Estación López Lecube,Estación,López Lecube,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.11961555199999907),-62.72694389
Estación Pelicurá,Estación,Pelicurá,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.19461749100000247),-62.69162346
Estación Berraondo,Estación,Berraondo,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.41561238199989958),-62.8189408
Estación San Germán,Estación,San Germán,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.30314516399990055),-62.98318613
Estación Rondeau,Estación,Rondeau,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.23905074299999995),-63.12095466
Estación Rivadeo,Estación,Rivadeo,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.14653195099990057),-63.05228504
Estación Rauch,Estación,Rauch,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.77735956099999726),-59.09762313
Estación Miranda,Estación,Miranda,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.53347339100000113),-59.13379511
Estación Juan Tronconi,Estación,Juan Tronconi,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.51027559599990013),-59.25340256
Estación Juan Atucha,Estación,Juan Atucha,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.54500913599999734),-59.35074705
Estación Santiago Larré,Estación,Santiago Larré,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.58239736899999883),-59.1652013
Estación Álvarez de Toledo,Estación,Álvarez de Toledo,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.6364857579998997),-59.62918566
Estación Saladillo Norte,Estación,Saladillo Norte,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.60737072799999936),-59.79558231
Estación Gobernador Ortiz de Rozas,Estación,Gobernador Ortiz de Rozas,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.62864166199990024),-59.7665423
Estación Saladillo,Estación,Saladillo,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.63558136799999687),-59.7838161
Estación del Carril,Estación,del Carril,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.51009487200000336),-59.51124763
Estación Cazón,Estación,Cazón,6,IGN/Ministerio de Transporte de la Nación,IGN,-35.57703715400000277),-59.66154578
Estación Emiliano Reynoso,Estación,Emiliano Reynoso,4,IGN/Ministerio de Transporte de la Nación,IGN,-35.54928189399989691),-59.87407848
Estación Lucas Monteverde,Estación,Lucas Monteverde,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.48262789699990094),-59.98571066
Estación Blas Duroña,Estación,Blas Duroña,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.48026782800000234),-60.13565787
Estación La Barrancosa,Estación,La Barrancosa,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.73803874299989758),-59.86863349
Estación Esther,Estación,Esther,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.64024021699999878),-59.95339172
Estación Pueblitos,Estación,Pueblitos,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.63738962400000077),-60.10956772
Estación San Benito,Estación,San Benito,4,IGN/Ministerio de Transporte de la Nación,IGN,-35.67007117399990079),-59.8849237
Estación Mercedes Cargas,Estación,Mercedes Cargas,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.65651849499990078),-59.44381616
Estación Gowland,Estación,Gowland,6,IGN/Trenes Argentinos,IGN,-34.64799307999989963),-59.35295789
Estación Mercedes P.,Estación,Mercedes P.,6,IGN/Trenes Argentinos,IGN,-34.65683960699990251),-59.43147247
Estación Mercedes,Estación,Mercedes,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.6577108079998979),-59.43241746
Estación Agote,Estación,Agote,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.64472537500000016),-59.35365565
Estación Altamira,Estación,Altamira,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.66999007599999771),-59.36792365
Estación Mercedes,Estación,Mercedes,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.64480375699999826),-59.42666978
Estación Vaghes,Estación,Vaghes,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.29933813299989964),-59.44456948
Estación San Antonio,Estación,San Antonio,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.25791551899990139),-59.48075387
Estación Duggan,Estación,Duggan,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.2137928849999966),-59.63466456
Estación Km 108,Estación,Km 108,4,IGN/Ministerio de Transporte de la Nación,IGN,-34.43415175199989875),-59.56312417
Estación San Andrés de Giles,Estación,San Andrés de Giles,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.43776484299999652),-59.44063501
Estación Heavy,Estación,Heavy,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.43131811300000322),-59.65870662
Estación Ochandío,Estación,Ochandío,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.35929998699990051),-59.79389704
