DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR,MES_NUMERO,MES_NOMBRE,DIA_SEMANA,TIPO_DIA,ESTACION
2025-01-03,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_561B,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,557,NO,1,Enero,Viernes,Día de semana,Verano
2025-01-03,EMPRESA NUEVE DE JULIO S.A.T.,LINEA OESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,43275,NO,1,Enero,Viernes,Día de semana,Verano
2025-01-03,FUERTE BARRAGAN S.A.T.I.C.I.,LINEA_506F_BSAS,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,8638,NO,1,Enero,Viernes,Día de semana,Verano
2025-01-03,UNION PLATENSE SRL,NORTE MUNICIPAL,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,9127,NO,1,Enero,Viernes,Día de semana,Verano
2025-01-04,UNION PLATENSE SRL,BSAS_LINEA_502_SUR,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,4244,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,MICROEXPRES S.A.,BSAS_LINEA_503_ESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,3549,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_503E,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,14385,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_508C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,344,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_518,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,349,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,UNION PLATENSE SRL,BSAS_LINEA_520C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,4896,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_561B,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,394,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,EMPRESA NUEVE DE JULIO S.A.T.,LINEA OESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,27067,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,FUERTE BARRAGAN S.A.T.I.C.I.,LINEA_506F_BSAS,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,5122,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-04,UNION PLATENSE SRL,NORTE MUNICIPAL,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,4687,NO,1,Enero,Sábado,Fin de semana,Verano
2025-01-05,UNION PLATENSE SRL,BSAS_LINEA_502_SUR,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,1226,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-05,MICROEXPRES S.A.,BSAS_LINEA_503_ESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,2187,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-05,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_503E,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,9004,NO,1,Enero,Domingo,Fin de semana,Verano
2025-01-05,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_508C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,200,NO,1,Enero,Domingo,Fin de semana,Verano
